[1612523675859],"com.nike.plusgps.profile.PreferencesActivity"
[1612523680627],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523684700],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523684966],"com.nike.plusgps.profile.PreferencesActivity"
[1612523687125],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523687593],"com.nike.plusgps.profile.PreferencesActivity"
[1612523687998],"com.nike.plusgps.profile.PreferencesActivity"
[1612523688416],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523689375],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523691454],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523692613],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523694899],"com.nike.plusgps.profile.PreferencesActivity"
[1612523695234],"com.nike.plusgps.profile.PreferencesActivity"
[1612523698263],"com.nike.plusgps.profile.PreferencesActivity"
[1612523698876],"com.nike.plusgps.profile.PreferencesActivity"
[1612523699297],"com.nike.plusgps.profile.PreferencesActivity"
[1612523699905],"com.nike.plusgps.profile.PreferencesActivity"
[1612523700508],"com.nike.plusgps.profile.PreferencesActivity"
[1612523700927],"com.nike.plusgps.profile.ProfileActivity"
[1612523702992],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523706447],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523707455],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523707873],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523708488],"com.nike.plusgps.inbox.InboxActivity"
[1612523710141],"com.nike.plusgps.inbox.InboxActivity"
[1612523712524],"com.nike.plusgps.activities.ActivitiesActivity"
[1612523715787],"com.nike.plusgps.activities.achievements.AchievementDetailActivity"
[1612523720344],"com.nike.plusgps.activities.ActivitiesActivity"
[1612523721107],"com.nike.plusgps.activities.ActivitiesActivity"
[1612523722123],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523722719],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523725562],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523726365],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523726606],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523729017],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523733039],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523737312],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523740962],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523741591],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523743262],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523744463],"com.nike.plusgps.coach.setup.PlanDetailActivity"
[1612523744665],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523746887],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523747995],"com.nike.plusgps.profile.ProfileActivity"
[1612523749002],"com.nike.plusgps.profile.ProfileActivity"
[1612523752421],"com.nike.plusgps.profile.ProfileActivity"
[1612523752832],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523753654],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523755886],"com.nike.plusgps.activities.ActivitiesActivity"
[1612523758771],"com.nike.plusgps.rundetails.RunDetailsActivity"
[1612523759579],"com.nike.plusgps.activities.ActivitiesActivity"
[1612523759981],"com.nike.plusgps.rundetails.RunDetailsActivity"
[1612523760777],"com.nike.plusgps.rundetails.insights.InsightsActivity"
[1612523760978],"com.nike.plusgps.rundetails.RunDetailsActivity"
[1612523761995],"com.nike.plusgps.rundetails.insights.InsightsActivity"
[1612523762612],"com.nike.plusgps.rundetails.RunDetailsActivity"
[1612523763845],"com.nike.plusgps.rundetails.insights.InsightsActivity"
[1612523766628],"com.nike.plusgps.rundetails.RunDetailsActivity"
[1612523767652],"com.nike.plusgps.activities.ActivitiesActivity"
[1612523767856],"com.nike.plusgps.rundetails.RunDetailsActivity"
[1612523768246],"com.nike.plusgps.rundetails.insights.InsightsActivity"
[1612523769862],"com.nike.plusgps.rundetails.RunDetailsActivity"
[1612523771625],"com.nike.plusgps.activities.ActivitiesActivity"
[1612523772394],"com.nike.plusgps.activities.ActivitiesActivity"
[1612523772597],"com.nike.plusgps.activities.ActivitiesActivity"
[1612523773408],"com.nike.plusgps.profile.ProfileActivity"
[1612523773830],"com.nike.plusgps.profile.ProfileActivity"
[1612523774637],"com.nike.plusgps.profile.PreferencesActivity"
[1612523775877],"com.nike.plusgps.profile.ProfileActivity"
[1612523777072],"com.nike.plusgps.profile.ProfileActivity"
[1612523777289],"com.nike.plusgps.profile.PreferencesActivity"
[1612523778500],"com.nike.plusgps.profile.PreferencesActivity"
[1612523781966],"com.nike.plusgps.profile.ProfileActivity"
[1612523783790],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523785604],"com.nike.plusgps.coach.setup.PlanDetailActivity"
[1612523787639],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523787861],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523788478],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523789284],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523789904],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523790106],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523790916],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523792070],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523794122],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523794322],"com.nike.plusgps.challenges.about.ChallengesAboutActivity"
[1612523796342],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523796743],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523798983],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523800625],"com.nike.plusgps.profile.ProfileActivity"
[1612523803665],"com.nike.plusgps.profile.ProfileActivity"
[1612523805915],"com.nike.plusgps.profile.ProfileActivity"
[1612523807172],"com.nike.plusgps.profile.PreferencesActivity"
[1612523809413],"com.nike.plusgps.profile.PreferencesActivity"
[1612523811457],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523812065],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523812425],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523813435],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523813838],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523814039],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523814240],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523816556],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523817700],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523821361],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523821627],"com.nike.plusgps.profile.PreferencesActivity"
[1612523822184],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1612523823192],"com.nike.plusgps.preferences.runcountdown.RunCountdownPreferencesActivity"
[1612523824418],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1612523828465],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1612523829070],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1612523829674],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1612523830501],"com.nike.plusgps.preferences.audiofeedback.AudioFeedbackPreferencesActivity"
[1612523830918],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1612523831109],"com.nike.plusgps.preferences.runcountdown.RunCountdownPreferencesActivity"
[1612523831919],"com.nike.plusgps.preferences.runcountdown.RunCountdownPreferencesActivity"
[1612523832549],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1612523833020],"com.nike.plusgps.profile.PreferencesActivity"
[1612523834633],"com.nike.plusgps.profile.PartnerActivity"
[1612523835910],"com.nike.plusgps.profile.PreferencesActivity"
[1612523836482],"com.nike.plusgps.profile.PreferencesActivity"
[1612523838710],"com.nike.plusgps.profile.PreferencesActivity"
[1612523839490],"com.nike.plusgps.profile.PreferencesActivity"
[1612523840497],"com.nike.plusgps.profile.PreferencesActivity"
[1612523842109],"com.nike.plusgps.profile.PreferencesActivity"
[1612523847249],"com.nike.plusgps.widgets.webview.WebViewActivity"
[1612523864606],"com.nike.plusgps.widgets.webview.WebViewActivity"
[1612523867063],"com.nike.plusgps.profile.PreferencesActivity"
[1612523867653],"com.nike.plusgps.profile.PreferencesActivity"
[1612523869323],"com.nike.plusgps.profile.PreferencesActivity"
[1612523878715],"com.nike.plusgps.widgets.webview.WebViewActivity"
[1612523880559],"com.nike.plusgps.profile.PreferencesActivity"
[1612523882360],"com.nike.plusgps.profile.PreferencesActivity"
[1612523882902],"com.nike.plusgps.profile.PreferencesActivity"
[1612523884085],"com.nike.plusgps.profile.PreferencesActivity"
[1612523885097],"com.nike.plusgps.profile.PreferencesActivity"
[1612523885888],"com.nike.plusgps.profile.PreferencesActivity"
[1612523887124],"com.nike.plusgps.profile.PreferencesActivity"
[1612523888955],"com.nike.plusgps.profile.PreferencesActivity"
[1612523889798],"com.nike.plusgps.profile.PreferencesActivity"
[1612523893374],"com.nike.plusgps.profile.PreferencesActivity"
[1612523894592],"com.nike.plusgps.profile.PreferencesActivity"
[1612523894793],"com.nike.plusgps.profile.ProfileActivity"
[1612523898129],"com.nike.plusgps.runlanding.RunLandingActivity"
