[1613637731367],"com.nike.plusgps.inrun.InRunActivity"
[1613637733062],"com.nike.plusgps.inrun.InRunActivity"
[1613637733833],"com.nike.plusgps.inrun.InRunActivity"
[1613637740121],"com.nike.plusgps.inrun.InRunActivity"
[1613637742370],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613637746239],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637749181],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613637754245],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637761805],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637763027],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613637767148],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637771149],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637776521],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637777511],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1613637778469],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1613637779326],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637790531],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637791475],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637792534],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613637793524],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637795522],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613637796475],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637800647],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637801739],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613637807819],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
